"Legislative Branch (Role)","Creates new laws and revises existing ones."
"Legislative Branch (Source of Power)","Article I of the U.S. Constitution (Article I powers)."
"Legislative Branch (Check on Executive)","Holds the power of the purse (spending) and the power of impeachment (majority vote in House, 2/3 conviction in Senate)."
"House of Representatives (Composition)","435 voting members, based on population, elected to two-year terms."
"Senate (Composition)","100 voting members (two per state), elected to six-year terms."
"Executive Branch (Role)","Carries out and enforces the laws created by the legislative branch."
"Executive Branch (Source of Power)","Article II of the U.S. Constitution (Article II powers)."
"Executive Branch (Check on Legislative)","Veto power over bills passed by Congress (Congress can override with a 2/3 majority in both houses). The power to enforce (or decline to enforce) laws."
"Judicial Branch (Role)","Interprets the meaning of laws, resolves disputes, and determines constitutionality."
"Judicial Branch (Source of Power)","Article III of the U.S. Constitution."
"Judicial Review","The power to strike down laws or practices that conflict with the U.S. Constitution (Check on Legislative & Executive)."
"U.S. District Courts","The trial courts of the federal system."
"U.S. Circuit Courts of Appeal","Intermediate courts that accept cases on appeal from District Courts. Decisions are binding only within their geographic circuit."
"U.S. Supreme Court","Highest court. Decisions are final and binding on all inferior courts. Determines which cases to accept through certiorari."
