"Right of Public Access (Courts)","Derived from 1st Amendment. Ensures public/press access to criminal trials (*Richmond Newspapers*)."
"Branzburg v. Hayes (1972)","Supreme Court ruled there is NO general 'reporter's privilege' to refuse to testify before a grand jury."
"Zurcher v. Stanford Daily (1978)","Supreme Court ruled 4th Amendment does NOT protect newsrooms from valid search warrants."
"Privacy Protection Act (PPA) of 1980","Overruled *Zurcher*. Prohibits seizing public dissemination materials via search warrant (must use subpoena)."
"PPA Work Product (High Protection)","Materials created by the journalist (notes, drafts) in anticipation of communication to public."
"PPA Documentary Material","Materials obtained from others on which information is formally recorded (photos, tapes)."
"PPA Exception (Warrant Allowed)","1. Journalist is suspect.<br>2. Imminent danger.<br>3. Risk of destruction (documents only)."
"Civil Discovery Standard (FRCP Rule 26)","Parties may obtain discovery regarding any nonprivileged matter **relevant** to a claim/defense and **proportional** to case needs."
"FRCP Proportionality Factors","Issues' importance, Amount in controversy, Access to info, Burden vs. Benefit."
"5 Discovery Devices","Requests for Production (RFP), Depositions, Interrogatories, Requests for Admission, Subpoenas."
"Sedona Conference","Think-tank providing influential guidance on E-Discovery and Information Governance."
"Information Governance (Discovery)","Holistic management of info assets. Reduces 'data debris' to lower e-discovery costs/risks."
"International Discovery Conflict","US discovery is broad; EU/foreign laws (GDPR) are restrictive. 'Rock and a Hard Place' scenario."
"Societe Nationale (1987) Balancing Test","5 factors to resolve conflicts between US discovery and foreign blocking statutes (Importance, Specificity, Origin, Alternatives, National Interests)."
"FRCP Rule 5.2 (Redaction)","Mandates redaction in court filings:<br>**SSN/Tax ID:** Last 4 digits.<br>**Birth Date:** Year only.<br>**Minors:** Initials only.<br>**Financial Acct:** Last 4 digits."
"E-Discovery Process (EDRM Model - Simplified)","Preservation (Legal Hold) -> Collection -> Processing -> Review (Redaction) -> Production."
